Serial Data,8448,1
Serial Data,8576,1
Serial Data,9198,1
Serial Data,9522,1
Serial Data,9546,1
Serial Data,9574,1
Serial Data,9642,1
Serial Data,9649,1
Serial Data,9700,1
Serial Data,9725,1
Serial Data,9763,1
Serial Data,9763,1
Serial Data,9764,1
Serial Data,9765,1
Serial Data,9779,1
Serial Data,9860,1
Serial Data,9941,1
Serial Data,9996,1
Serial Data,10250,1
Serial Data,11498,1
Serial Data,10982,2
Serial Data,10998,2
Serial Data,11013,2
Serial Data,11029,2
Serial Data,11033,2
Serial Data,11034,2
Serial Data,11038,2
Serial Data,11050,2
Serial Data,11051,2
Serial Data,11057,2
Serial Data,11060,2
Serial Data,11063,2
Serial Data,11072,2
Serial Data,11074,2
Serial Data,11080,2
Serial Data,11091,2
Serial Data,11107,2
Serial Data,11109,2
Serial Data,11139,2
Serial Data,11172,2
Serial Data,20178,4
Serial Data,20179,4
Serial Data,20204,4
Serial Data,20224,4
Serial Data,20233,4
Serial Data,20235,4
Serial Data,20236,4
Serial Data,20236,4
Serial Data,20241,4
Serial Data,20248,4
Serial Data,20257,4
Serial Data,20259,4
Serial Data,20259,4
Serial Data,20264,4
Serial Data,20266,4
Serial Data,20267,4
Serial Data,20269,4
Serial Data,20277,4
Serial Data,20302,4
Serial Data,20314,4
Serial Data,39786,8
Serial Data,39801,8
Serial Data,39805,8
Serial Data,39807,8
Serial Data,39807,8
Serial Data,39807,8
Serial Data,39813,8
Serial Data,39813,8
Serial Data,39821,8
Serial Data,39823,8
Serial Data,39831,8
Serial Data,39837,8
Serial Data,39838,8
Serial Data,39839,8
Serial Data,39843,8
Serial Data,39844,8
Serial Data,39853,8
Serial Data,39871,8
Serial Data,39996,8
Serial Data,40064,8
Serial Data,81112,16
Serial Data,81112,16
Serial Data,81129,16
Serial Data,81142,16
Serial Data,81146,16
Serial Data,81149,16
Serial Data,81153,16
Serial Data,81153,16
Serial Data,81154,16
Serial Data,81154,16
Serial Data,81159,16
Serial Data,81159,16
Serial Data,81160,16
Serial Data,81178,16
Serial Data,81181,16
Serial Data,81201,16
Serial Data,81203,16
Serial Data,81204,16
Serial Data,81214,16
Serial Data,81227,16
Serial Data,165187,32
Serial Data,165190,32
Serial Data,165191,32
Serial Data,165197,32
Serial Data,165205,32
Serial Data,165231,32
Serial Data,165232,32
Serial Data,165233,32
Serial Data,165238,32
Serial Data,165246,32
Serial Data,165251,32
Serial Data,165260,32
Serial Data,165265,32
Serial Data,165266,32
Serial Data,165271,32
Serial Data,165272,32
Serial Data,165273,32
Serial Data,165273,32
Serial Data,165360,32
Serial Data,165421,32
Serial Data,360094,64
Serial Data,360145,64
Serial Data,360215,64
Serial Data,360243,64
Serial Data,360299,64
Serial Data,360324,64
Serial Data,360344,64
Serial Data,360349,64
Serial Data,360415,64
Serial Data,360452,64
Serial Data,360463,64
Serial Data,360571,64
Serial Data,360682,64
Serial Data,360713,64
Serial Data,360755,64
Serial Data,360773,64
Serial Data,360948,64
Serial Data,362651,64
Serial Data,362896,64
Serial Data,363031,64
Serial Data,699101,128
Serial Data,699161,128
Serial Data,699262,128
Serial Data,699269,128
Serial Data,699310,128
Serial Data,699365,128
Serial Data,699391,128
Serial Data,699433,128
Serial Data,699490,128
Serial Data,699536,128
Serial Data,699640,128
Serial Data,699802,128
Serial Data,699808,128
Serial Data,699829,128
Serial Data,699938,128
Serial Data,702260,128
Serial Data,702328,128
Serial Data,702464,128
Serial Data,702469,128
Serial Data,702982,128
Serial Data,1378361,256
Serial Data,1379353,256
Serial Data,1379433,256
Serial Data,1379512,256
Serial Data,1379516,256
Serial Data,1379521,256
Serial Data,1379591,256
